fishery_name,month,combined_type,hours,total_hours,prop
Drano Lake salmon and steelhead 2025,2025-08-01,Unguided-Bank,353.81666666666666,3690.5666666666666,0.09587055285096237
Drano Lake salmon and steelhead 2025,2025-08-01,Unguided-Boat,2907.5333333333333,3690.5666666666666,0.7878284274321017
Drano Lake salmon and steelhead 2025,2025-09-01,Guided-Bank,0,5257.4,0
Drano Lake salmon and steelhead 2025,2025-09-01,Guided-Boat,1704.6333333333334,5257.4,0.3242350464741761
Drano Lake salmon and steelhead 2025,2025-09-01,Unguided-Bank,506.95,5257.4,0.09642599003309621
Drano Lake salmon and steelhead 2025,2025-09-01,Unguided-Boat,3045.8166666666666,5257.4,0.5793389634927277
Drano Lake salmon and steelhead 2025,2025-10-01,Guided-Bank,0,2339.9166666666665,0
Drano Lake salmon and steelhead 2025,2025-10-01,Guided-Boat,626.8833333333333,2339.9166666666665,0.26790840129634247
Drano Lake salmon and steelhead 2025,2025-10-01,Unguided-Bank,393.9166666666667,2339.9166666666665,0.16834645108444035
Drano Lake salmon and steelhead 2025,2025-10-01,Unguided-Boat,1319.1166666666666,2339.9166666666665,0.5637451476192172
Drano Lake salmon and steelhead 2026,2026-07-01,Guided-Bank,0,169.8,0
Drano Lake salmon and steelhead 2026,2026-07-01,Guided-Boat,0,169.8,0
Drano Lake salmon and steelhead 2026,2026-07-01,Unguided-Bank,15.366666666666667,169.8,0.09049862583431488
Drano Lake salmon and steelhead 2026,2026-07-01,Unguided-Boat,154.43333333333334,169.8,0.9095013741656851
Drano Lake salmon and steelhead 2026,2026-08-01,Guided-Bank,0,478.8,0
Drano Lake salmon and steelhead 2026,2026-08-01,Guided-Boat,0,478.8,0
Drano Lake salmon and steelhead 2026,2026-08-01,Unguided-Bank,29.683333333333334,478.8,0.06199526594263436
Drano Lake salmon and steelhead 2026,2026-08-01,Unguided-Boat,449.1166666666667,478.8,0.9380047340573656
Drano Lake spring Chinook 2026,2026-04-01,Guided-Bank,0,6385.833333333334,0
Drano Lake spring Chinook 2026,2026-04-01,Guided-Boat,2094.766666666667,6385.833333333334,0.32803340728174346
Drano Lake spring Chinook 2026,2026-04-01,Unguided-Bank,360.7166666666667,6385.833333333334,0.05648701552916612
Drano Lake spring Chinook 2026,2026-04-01,Unguided-Boat,3930.35,6385.833333333334,0.6154795771890904
Drano Lake spring Chinook 2026,2026-05-01,Guided-Bank,0,9354.716666666667,0
Drano Lake spring Chinook 2026,2026-05-01,Guided-Boat,4268.85,9354.716666666667,0.45633129811521106
Drano Lake spring Chinook 2026,2026-05-01,Unguided-Bank,784.4,9354.716666666667,0.08385074908735878
Drano Lake spring Chinook 2026,2026-05-01,Unguided-Boat,4301.466666666666,9354.716666666667,0.4598179527974301
Drano Lake spring Chinook 2026,2026-06-01,Guided-Bank,0,157.73333333333332,0
Drano Lake spring Chinook 2026,2026-06-01,Guided-Boat,18.666666666666668,157.73333333333332,0.11834319526627221
Drano Lake spring Chinook 2026,2026-06-01,Unguided-Bank,30.433333333333334,157.73333333333332,0.1929416737109045
Drano Lake spring Chinook 2026,2026-06-01,Unguided-Boat,108.63333333333333,157.73333333333332,0.6887151310228233
Drano Lake spring Chinook 2026,2026-07-01,Guided-Bank,0,169.8,0
Drano Lake spring Chinook 2026,2026-07-01,Guided-Boat,0,169.8,0
Drano Lake spring Chinook 2026,2026-07-01,Unguided-Bank,15.366666666666667,169.8,0.09049862583431488
Drano Lake spring Chinook 2026,2026-07-01,Unguided-Boat,154.43333333333334,169.8,0.9095013741656851
Hoh fall salmon 2023,2023-09-01,Guided-Bank,32.28333333333333,767.6166666666667,0.04205658206135875
Hoh fall salmon 2023,2023-09-01,Guided-Boat,178.78333333333333,767.6166666666667,0.23290704995983239
Hoh fall salmon 2023,2023-09-01,Unguided-Bank,347.15,767.6166666666667,0.4522439585730725
Hoh fall salmon 2023,2023-09-01,Unguided-Boat,209.4,767.6166666666667,0.2727924094057364
Hoh fall salmon 2025,2025-09-01,Guided-Bank,0,699.5333333333333,0
Hoh fall salmon 2025,2025-09-01,Guided-Boat,236.86666666666667,699.5333333333333,0.338606690174402
Hoh fall salmon 2025,2025-09-01,Unguided-Bank,207.43333333333334,699.5333333333333,0.29653102068045367
Hoh fall salmon 2025,2025-09-01,Unguided-Boat,255.23333333333332,699.5333333333333,0.3648622891451444
Hoh fall salmon 2025,2025-10-01,Guided-Bank,0,1153.6499999999999,0
Hoh fall salmon 2025,2025-10-01,Guided-Boat,529.9333333333333,1153.6499999999999,0.4593536456753204
Hoh fall salmon 2025,2025-10-01,Unguided-Bank,212.16666666666666,1153.6499999999999,0.18390904231497135
Hoh fall salmon 2025,2025-10-01,Unguided-Boat,411.55,1153.6499999999999,0.3567373120097084
Hoh fall salmon 2025,2025-11-01,Guided-Bank,0,358.31666666666666,0
Hoh fall salmon 2025,2025-11-01,Guided-Boat,125.88333333333333,358.31666666666666,0.3513186659844644
Hoh fall salmon 2025,2025-11-01,Unguided-Bank,96,358.31666666666666,0.26791943811340063
Hoh fall salmon 2025,2025-11-01,Unguided-Boat,136.43333333333334,358.31666666666666,0.380761895902135
Hoh fall salmon 2025,2025-12-01,Guided-Bank,0,16,0
Hoh fall salmon 2025,2025-12-01,Guided-Boat,0,16,0
Hoh fall salmon 2025,2025-12-01,Unguided-Bank,0,16,0
Hoh fall salmon 2025,2025-12-01,Unguided-Boat,16,16,1
Hoh winter steelhead 2022-23,2022-12-01,Guided-Bank,0,66.58333333333333,0
Hoh winter steelhead 2022-23,2022-12-01,Guided-Boat,0,66.58333333333333,0
Hoh winter steelhead 2022-23,2022-12-01,Unguided-Bank,66.58333333333333,66.58333333333333,1
Hoh winter steelhead 2022-23,2022-12-01,Unguided-Boat,0,66.58333333333333,0
Hoh winter steelhead 2022-23,2023-01-01,Guided-Bank,193.88333333333333,988.8833333333333,0.19606289922977094
Hoh winter steelhead 2022-23,2023-01-01,Guided-Boat,61.71666666666667,988.8833333333333,0.0624104629801291
