fishery_name,angler_final,hours,total_hours,prop
Satsop salmon 2023,Bank,1458.6166666666666,2968.0666666666666,0.49143662541272654
Satsop salmon 2023,Boat,1509.45,2968.0666666666666,0.5085633745872734
Satsop salmon 2024,Bank,2395.3166666666666,4510.033333333333,0.5311084175283258
Satsop salmon 2024,Boat,2114.7166666666667,4510.033333333333,0.46889158247167434
Satsop salmon 2025,Bank,1291.0666666666666,3038.25,0.4249376011410077
Satsop salmon 2025,Boat,1747.1833333333334,3038.25,0.5750623988589924
Satsop winter steelhead 2024-25,Bank,995.7,3264.0333333333338,0.3050520317398719
Satsop winter steelhead 2024-25,Boat,2268.3333333333335,3264.0333333333338,0.6949479682601281
Satsop winter steelhead 2025-26,Bank,304.35,1350.6666666666665,0.22533316880552817
Satsop winter steelhead 2025-26,Boat,1046.3166666666666,1350.6666666666665,0.7746668311944719
Silver Lake Winter Crappie 2025-26,Bank,2336.483333333333,3004.2999999999997,0.7777130557312297
Silver Lake Winter Crappie 2025-26,Boat,667.8166666666666,3004.2999999999997,0.22228694426877033
Skagit fall salmon 2021,Bank,2485.266666666667,6278.6,0.39583134244364454
Skagit fall salmon 2021,Boat,3793.3333333333335,6278.6,0.6041686575563554
Skagit fall salmon 2022,Bank,2605.233333333333,14102.283333333333,0.1847384052464317
Skagit fall salmon 2022,Boat,11497.05,14102.283333333333,0.8152615947535683
Skagit fall salmon 2023,Bank,7504.05,17544.966666666667,0.427703861886315
Skagit fall salmon 2023,Boat,10040.916666666666,17544.966666666667,0.572296138113685
Skagit fall salmon 2024,Bank,3846.883333333333,11148.733333333334,0.3450511567831323
Skagit fall salmon 2024,Boat,7301.85,11148.733333333334,0.6549488432168677
Skagit fall salmon 2025,Bank,9051.383333333333,17648.933333333334,0.5128572453859346
Skagit fall salmon 2025,Boat,8597.55,17648.933333333334,0.48714275461406537
Skagit spring Chinook 2021 lower,Bank,277.48333333333335,506.03333333333336,0.5483499110730519
Skagit spring Chinook 2021 lower,Boat,228.55,506.03333333333336,0.45165008892694813
Skagit spring Chinook 2021 upper,Bank,156.5,845.8333333333334,0.1850246305418719
Skagit spring Chinook 2021 upper,Boat,689.3333333333334,845.8333333333334,0.8149753694581281
Skagit spring Chinook 2022 lower,Bank,900.7333333333333,1319.65,0.6825547177913335
Skagit spring Chinook 2022 lower,Boat,418.9166666666667,1319.65,0.3174452822086664
Skagit spring Chinook 2022 upper,Bank,264.9166666666667,785.1333333333334,0.3374161501231213
Skagit spring Chinook 2022 upper,Boat,520.2166666666667,785.1333333333334,0.6625838498768786
Skagit spring Chinook 2023 lower,Bank,514.1,965.9166666666667,0.5322405314468122
Skagit spring Chinook 2023 lower,Boat,451.81666666666666,965.9166666666667,0.4677594685531878
Skagit spring Chinook 2023 upper,Bank,409.6166666666667,1082.1,0.3785386439947017
Skagit spring Chinook 2023 upper,Boat,672.4833333333333,1082.1,0.6214613560052984
Skagit spring Chinook 2024 lower,Bank,970.1833333333334,1821.35,0.5326726512385502
Skagit spring Chinook 2024 lower,Boat,851.1666666666666,1821.35,0.4673273487614498
Skagit spring Chinook 2024 upper,Bank,1944.85,2630.2,0.7394304615618584
