fishery_name,month,guided_status,hours,total_hours,prop
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Unguided,178.83333333333334,202.83333333333334,0.8816762530813476
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Guided,21.8,94.28333333333333,0.2312179600494962
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Unguided,72.48333333333333,94.28333333333333,0.7687820399505039
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Guided,257.8833333333333,346.16666666666663,0.7449687048627829
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Unguided,88.28333333333333,346.16666666666663,0.2550312951372172
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Guided,599.35,773.5833333333334,0.7747710869331035
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Unguided,174.23333333333335,773.5833333333334,0.2252289130668965
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Guided,174.23333333333332,239.96666666666664,0.72607306570357
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Unguided,65.73333333333333,239.96666666666664,0.2739269342964301
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Guided,70,157.61666666666667,0.44411547002220575
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Unguided,87.61666666666667,157.61666666666667,0.5558845299777943
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Guided,485.93333333333334,686.7333333333333,0.7076012037666246
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Unguided,200.8,686.7333333333333,0.2923987962333754
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Guided,1590.6833333333334,1955.7,0.8133575360910842
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Unguided,365.01666666666665,1955.7,0.1866424639089158
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Guided,422.01666666666665,820.7833333333333,0.5141632992872662
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Unguided,398.76666666666665,820.7833333333333,0.48583670071273377
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Guided,51.150000000000006,1201.3166666666668,0.042578282162627115
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Unguided,1150.1666666666667,1201.3166666666668,0.9574217178373728
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Guided,170.6,1094.25,0.15590587160155356
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Unguided,923.65,1094.25,0.8440941283984464
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Guided,28.06666666666667,485.1166666666667,0.05785549867729413
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Unguided,457.05,485.1166666666667,0.9421445013227059
Lower Cowlitz salmon and steelhead 2023-24,2023-12-01,Unguided,124.2,124.2,1
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Guided,529.6,1273.5666666666666,0.4158400293140001
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Unguided,743.9666666666667,1273.5666666666666,0.584159970686
